cs,coordinates,type,verweis
utm,582588.551 4090537.422 34 S,between,0
utm,585335.853 4072618.022 34 S,b,1
utm,582588.551 4090537.422 34 S,direction,17 210 280
utm,585335.853 4072618.022 34 S,direction,9 80 170



